flow	staging	outcome	crash_at	run_id	status	run_root_hits	dump_hits	order
import	transient	clean	none	screen-20260922T191834Z-import-transient-clean-none	ok	1	0	pass
import	transient	clean	after-read	screen-20260922T191834Z-import-transient-clean-after-read	exit-137	1	0	pass
import	transient	clean	after-parse	screen-20260922T191834Z-import-transient-clean-after-parse	exit-137	1	0	pass
import	transient	clean	after-detect	screen-20260922T191834Z-import-transient-clean-after-detect	exit-137	1	0	pass
import	transient	clean	after-extract	screen-20260922T191834Z-import-transient-clean-after-extract	exit-137	1	0	pass
import	transient	clean	after-first-log	screen-20260922T191834Z-import-transient-clean-after-first-log	exit-137	1	0	pass
import	transient	clean	in-review	screen-20260922T191834Z-import-transient-clean-in-review	exit-137	1	0	pass
import	transient	clean	in-db-txn	screen-20260922T191834Z-import-transient-clean-in-db-txn	exit-137	1	0	pass
import	transient	clean	after-commit	screen-20260922T191834Z-import-transient-clean-after-commit	exit-137	1	0	pass
import	transient	rejected	none	screen-20260922T191834Z-import-transient-rejected-none	refused-as-expected	1	0	pass
import	transient	rejected	after-read	screen-20260922T191834Z-import-transient-rejected-after-read	refused-as-expected	1	0	pass
import	transient	rejected	after-parse	screen-20260922T191834Z-import-transient-rejected-after-parse	refused-as-expected	1	0	pass
import	transient	rejected	after-detect	screen-20260922T191834Z-import-transient-rejected-after-detect	refused-as-expected	1	0	pass
import	transient	rejected	after-extract	screen-20260922T191834Z-import-transient-rejected-after-extract	refused-as-expected	1	0	pass
import	transient	rejected	after-first-log	screen-20260922T191834Z-import-transient-rejected-after-first-log	refused-as-expected	1	0	pass
import	transient	rejected	in-review	screen-20260922T191834Z-import-transient-rejected-in-review	refused-as-expected	1	0	pass
import	transient	rejected	in-db-txn	screen-20260922T191834Z-import-transient-rejected-in-db-txn	refused-as-expected	1	0	pass
import	transient	rejected	after-commit	screen-20260922T191834Z-import-transient-rejected-after-commit	refused-as-expected	1	0	pass
import	encrypted	clean	none	screen-20260922T191834Z-import-encrypted-clean-none	ok	1	0	pass
import	encrypted	clean	after-read	screen-20260922T191834Z-import-encrypted-clean-after-read	exit-137	1	0	pass
import	encrypted	clean	after-parse	screen-20260922T191834Z-import-encrypted-clean-after-parse	exit-137	1	0	pass
import	encrypted	clean	after-detect	screen-20260922T191834Z-import-encrypted-clean-after-detect	exit-137	1	0	pass
import	encrypted	clean	after-extract	screen-20260922T191834Z-import-encrypted-clean-after-extract	exit-137	1	0	pass
import	encrypted	clean	after-first-log	screen-20260922T191834Z-import-encrypted-clean-after-first-log	exit-137	1	0	pass
import	encrypted	clean	in-review	screen-20260922T191834Z-import-encrypted-clean-in-review	exit-137	1	0	pass
import	encrypted	clean	in-db-txn	screen-20260922T191834Z-import-encrypted-clean-in-db-txn	exit-137	1	0	pass
import	encrypted	clean	after-commit	screen-20260922T191834Z-import-encrypted-clean-after-commit	exit-137	1	0	pass
