base	case	record	reference	fragments
fixture	alias	effective	reg-secret@1	-
fixture	alias	reproduction	reg-secret@1	f1.yaml@7393ea0c2b25
fixture	bool	effective	wipe@1	-
fixture	bool	reproduction	wipe@1	f1.yaml@4543c78af26d
fixture	bytes	effective	extra-ca@1	-
fixture	bytes	reproduction	extra-ca@1	f1.yaml@704449b82087
fixture	collision	effective	reg-pass@1	-
fixture	collision	reproduction	reg-pass@1	f2.yaml@0bbc5cb9de22
fixture	delete	reproduction	reg-pass@1	f1.yaml@285a05982cec
fixture	document	effective	roots@1	-
fixture	document	reproduction	roots@1	f1.yaml@c1af09f47831
fixture	duplicate-literal	effective	reg-pass@1	-
fixture	duplicate-literal	reproduction	reg-pass@1	f1.yaml@64e241a8cfb2
fixture	embedded-json	effective	app-token@1	-
fixture	embedded-json	reproduction	app-token@1	f1.yaml@304565443a10
fixture	embedded-yaml	effective	app-pass@1	-
fixture	embedded-yaml	reproduction	app-pass@1	f1.yaml@d6084559f3bf
fixture	int	effective	prism-port@1	-
fixture	int	reproduction	prism-port@1	f1.yaml@e8f8830a6ffa
fixture	invalid-value	effective	dns-domain@1	-
fixture	invalid-value	reproduction	dns-domain@1	f1.yaml@7b017a225276
fixture	list-append	effective	manifest-url@1	-
fixture	list-append	reproduction	manifest-url@1	f2.yaml@ff049cd32ef8
fixture	list-duplicate	effective	dup-pass@1	-
fixture	list-duplicate	reproduction	dup-pass@1	f2.yaml@cfaf6a32cb29
fixture	map	effective	reg-auth@1	-
fixture	map	reproduction	reg-auth@1	f1.yaml@235cdb655aa7
fixture	map-partial	effective	reg-auth@1	-
fixture	map-partial	reproduction	reg-auth@1	f1.yaml@235cdb655aa7
fixture	moved-r1	effective	reg-pass@1	-
fixture	moved-r1	reproduction	reg-pass@1	f1.yaml@285a05982cec
fixture	moved-r2	effective	reg-pass@1	-
fixture	moved-r2	reproduction	reg-pass@1	f1.yaml@65a5ec9ef4e7
fixture	override-literal	reproduction	reg-pass@1	f1.yaml@61032feac965
fixture	override-ref	effective	reg-pass@1	-
fixture	override-ref	reproduction	reg-pass@1	f2.yaml@4905a7124e9a
fixture	ref-over-ref	effective	pass-b@1	-
fixture	ref-over-ref	reproduction	pass-a@1	f1.yaml@a1b7c0a0606b
fixture	ref-over-ref	reproduction	pass-b@1	f2.yaml@0c9064390e0d
fixture	rotate-r1	effective	reg-pass@1	-
fixture	rotate-r1	reproduction	reg-pass@1	f1.yaml@285a05982cec
fixture	rotate-r2	effective	reg-pass@2	-
fixture	rotate-r2	reproduction	reg-pass@2	f1.yaml@285a05982cec
fixture	string	effective	reg-pass@1	-
fixture	string	reproduction	reg-pass@1	f1.yaml@61032feac965
fixture	type-mismatch	reproduction	prism-port@1	f1.yaml@e8f8830a6ffa
fixture	type-mismatch-two	reproduction	api-port@1	f1.yaml@e1e4316ba393
fixture	type-mismatch-two	reproduction	prism-port@1	f1.yaml@e1e4316ba393
fixture	unidentified-embedded	reproduction	app-pass@1	f1.yaml@d6084559f3bf
fixture	whole-content	effective	script@1	-
fixture	whole-content	reproduction	script@1	f1.yaml@27ffebad857a
fixture	yaml-escape	effective	reg-pass@1	-
fixture	yaml-escape	reproduction	reg-pass@1	f1.yaml@285a05982cec
generated	alias	effective	reg-secret@1	-
generated	alias	reproduction	reg-secret@1	f1.yaml@7393ea0c2b25
generated	bool	effective	wipe@1	-
generated	bool	reproduction	wipe@1	f1.yaml@4543c78af26d
generated	bytes	effective	extra-ca@1	-
generated	bytes	reproduction	extra-ca@1	f1.yaml@704449b82087
generated	collision	effective	reg-pass@1	-
generated	collision	reproduction	reg-pass@1	f2.yaml@0bbc5cb9de22
generated	delete	reproduction	reg-pass@1	f1.yaml@285a05982cec
generated	document	effective	roots@1	-
generated	document	reproduction	roots@1	f1.yaml@c1af09f47831
generated	duplicate-literal	effective	reg-pass@1	-
generated	duplicate-literal	reproduction	reg-pass@1	f1.yaml@64e241a8cfb2
generated	embedded-json	effective	app-token@1	-
