base	case	occurrence	ref	version	modifier	leaf	fragment	fragment-sha256	source-doc	source-path	status	output-doc	output-path	overridden-by
fixture	alias	0	reg-secret	1	-	-	f1.yaml	7393ea0c2b2547448fa39800c2f56921f0d673557435508cb6c1d97f2ad9ccf2	v1alpha1	machine/registries/config/registry.example.test/auth/password	effective	v1alpha1	machine/registries/config/mirror.example.test/auth/password	-
fixture	alias	0	reg-secret	1	-	-	f1.yaml	7393ea0c2b2547448fa39800c2f56921f0d673557435508cb6c1d97f2ad9ccf2	v1alpha1	machine/registries/config/registry.example.test/auth/password	effective	v1alpha1	machine/registries/config/registry.example.test/auth/password	-
fixture	bool	0	wipe	1	-	-	f1.yaml	4543c78af26d03ab7e1343f0efd5ba387044dd8e3787074bad66158c48a02864	v1alpha1	machine/install/wipe	effective	v1alpha1	machine/install/wipe	-
fixture	bytes	0	extra-ca	1	base64	-	f1.yaml	704449b820877d0b52c2b25ab6f34db09e3d272b3078cdbfc48e930f86a08ee9	v1alpha1	machine/acceptedCAs[0]/crt	effective	v1alpha1	machine/acceptedCAs[0]/crt	-
fixture	collision	0	reg-pass	1	-	-	f2.yaml	0bbc5cb9de2299e6356e766e1363461a64b3ac27b20e21f30686ce4469647beb	v1alpha1	machine/registries/config/mirror.example.test/auth/password	effective	v1alpha1	machine/registries/config/mirror.example.test/auth/password	-
fixture	delete	0	reg-pass	1	-	-	f1.yaml	285a05982cec64d417d09846518cc3a45dc2814bbe0fe3ba9ee62eb234c7658c	v1alpha1	machine/registries/config/registry.example.test/auth/password	overridden	-	-	f2.yaml
fixture	document	0	roots	1	-	-	f1.yaml	c1af09f4783106f932b4feb79a1a105d132401f30d400b1df99617c50c159c59	TrustedRootsConfig/e2-roots	certificates	effective	TrustedRootsConfig/e2-roots	certificates	-
fixture	duplicate-literal	0	reg-pass	1	-	-	f1.yaml	64e241a8cfb27a3a71510c11f03c4d96e5f28311dc263f7505d4419acc35c77a	v1alpha1	machine/registries/config/registry.example.test/auth/password	effective	v1alpha1	machine/registries/config/registry.example.test/auth/password	-
fixture	embedded-json	0	app-token	1	-	-	f1.yaml	304565443a1027d3f6dbc626b4d7cf071c34cfa5e325335fbfc07aaf9feb6e04	v1alpha1	machine/files[path=/var/etc/e2/config.json]/content|json/token	effective	v1alpha1	machine/files[path=/var/etc/e2/config.json]/content|json/token	-
fixture	embedded-yaml	0	app-pass	1	-	-	f1.yaml	d6084559f3bfa34607f8e40761b7d931fd6b34423136a2ea0c24501172363525	v1alpha1	cluster/inlineManifests[name=e2-secret]/contents|yaml/stringData/password	effective	v1alpha1	cluster/inlineManifests[name=e2-secret]/contents|yaml/stringData/password	-
