renderer	target	kubernetes	talosctl	machinery	controlplane_sha256	worker_sha256	machinery_output	talosctl_repeat
v1.12.12	current	default	0:M1	0:M2	648ddcc603605f8fc7dcba75f27d9527ee1b6ae210af24b0f7459c89f0652681	637c7375bf168d9d7e8c93afb0cecc6ee5cd165778dce74f5daae201fd874cfa	same	same
v1.12.12	current	1.36.2	0:M1	0:M2	295f99d17c0d30d9994eb9153ae0c2f8e4453a8813e0626dab7887791fe899f3	c95bca0bdad2368332128f1924041a762cf3f5aaa5fe861b8ae565daa85ad365	same	same
v1.12.12	v1.10.0	default	0:M1	0:M2	4f7a1a612b4057487836a4cd154d0d4e10122ce5ece709c3420e64db47148a07	e1ace05fcb07297cb403f667c67b23ae10011ef10ad6812a3ffbd6964ef0b1ee	same	same
v1.12.12	v1.10.0	1.36.2	0:M1	0:M2	3e33f9ead55cd1e9ae9f90ec9c9c5b0fb0dc2378c3c7bd5062fc18254559eb7d	ea9417107c46eaa282f0b87e3b78cc2ecbd23ba0cb25d4c309f06d7bcd029bc5	same	same
v1.12.12	v1.11.0	default	0:M1	0:M2	4f7a1a612b4057487836a4cd154d0d4e10122ce5ece709c3420e64db47148a07	e1ace05fcb07297cb403f667c67b23ae10011ef10ad6812a3ffbd6964ef0b1ee	same	same
v1.12.12	v1.11.0	1.36.2	0:M1	0:M2	3e33f9ead55cd1e9ae9f90ec9c9c5b0fb0dc2378c3c7bd5062fc18254559eb7d	ea9417107c46eaa282f0b87e3b78cc2ecbd23ba0cb25d4c309f06d7bcd029bc5	same	same
v1.12.12	v1.12.0	default	0:M1	0:M2	648ddcc603605f8fc7dcba75f27d9527ee1b6ae210af24b0f7459c89f0652681	637c7375bf168d9d7e8c93afb0cecc6ee5cd165778dce74f5daae201fd874cfa	same	same
v1.12.12	v1.12.0	1.36.2	0:M1	0:M2	295f99d17c0d30d9994eb9153ae0c2f8e4453a8813e0626dab7887791fe899f3	c95bca0bdad2368332128f1924041a762cf3f5aaa5fe861b8ae565daa85ad365	same	same
v1.12.12	v1.13.0	default	0:M1	0:M2	648ddcc603605f8fc7dcba75f27d9527ee1b6ae210af24b0f7459c89f0652681	637c7375bf168d9d7e8c93afb0cecc6ee5cd165778dce74f5daae201fd874cfa	same	same
v1.12.12	v1.13.0	1.36.2	0:M1	0:M2	295f99d17c0d30d9994eb9153ae0c2f8e4453a8813e0626dab7887791fe899f3	c95bca0bdad2368332128f1924041a762cf3f5aaa5fe861b8ae565daa85ad365	same	same
v1.12.12	v1.14.0	default	0:M1	0:M2	648ddcc603605f8fc7dcba75f27d9527ee1b6ae210af24b0f7459c89f0652681	637c7375bf168d9d7e8c93afb0cecc6ee5cd165778dce74f5daae201fd874cfa	same	same
v1.12.12	v1.14.0	1.36.2	0:M1	0:M2	295f99d17c0d30d9994eb9153ae0c2f8e4453a8813e0626dab7887791fe899f3	c95bca0bdad2368332128f1924041a762cf3f5aaa5fe861b8ae565daa85ad365	same	same
v1.12.12	v1.15.0	default	0:M1	0:M2	648ddcc603605f8fc7dcba75f27d9527ee1b6ae210af24b0f7459c89f0652681	637c7375bf168d9d7e8c93afb0cecc6ee5cd165778dce74f5daae201fd874cfa	same	same
v1.12.12	v1.15.0	1.36.2	0:M1	0:M2	295f99d17c0d30d9994eb9153ae0c2f8e4453a8813e0626dab7887791fe899f3	c95bca0bdad2368332128f1924041a762cf3f5aaa5fe861b8ae565daa85ad365	same	same
