renderer	target	file	validator	talosctl_container	talosctl_metal	machinery_container	machinery_metal
v1.12.12	current	controlplane	v1.12.12	0:M5	0:M6	0:M7	0:M7
v1.12.12	current	controlplane	v1.13.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	current	controlplane	v1.13.6	0:M5	0:M6	0:M7	0:M7
v1.12.12	current	controlplane	v1.13.10	0:M5	0:M6	0:M7	0:M7
v1.12.12	current	controlplane	v1.14.1	0:M5	0:M6	0:M7	0:M7
v1.12.12	current	controlplane	v1.15.0-alpha.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	current	worker	v1.12.12	0:M5	0:M6	0:M7	0:M7
v1.12.12	current	worker	v1.13.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	current	worker	v1.13.6	0:M5	0:M6	0:M7	0:M7
v1.12.12	current	worker	v1.13.10	0:M5	0:M6	0:M7	0:M7
v1.12.12	current	worker	v1.14.1	0:M5	0:M6	0:M7	0:M7
v1.12.12	current	worker	v1.15.0-alpha.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.10.0	controlplane	v1.12.12	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.10.0	controlplane	v1.13.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.10.0	controlplane	v1.13.6	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.10.0	controlplane	v1.13.10	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.10.0	controlplane	v1.14.1	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.10.0	controlplane	v1.15.0-alpha.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.10.0	worker	v1.12.12	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.10.0	worker	v1.13.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.10.0	worker	v1.13.6	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.10.0	worker	v1.13.10	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.10.0	worker	v1.14.1	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.10.0	worker	v1.15.0-alpha.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.11.0	controlplane	v1.12.12	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.11.0	controlplane	v1.13.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.11.0	controlplane	v1.13.6	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.11.0	controlplane	v1.13.10	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.11.0	controlplane	v1.14.1	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.11.0	controlplane	v1.15.0-alpha.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.11.0	worker	v1.12.12	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.11.0	worker	v1.13.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.11.0	worker	v1.13.6	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.11.0	worker	v1.13.10	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.11.0	worker	v1.14.1	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.11.0	worker	v1.15.0-alpha.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.12.0	controlplane	v1.12.12	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.12.0	controlplane	v1.13.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.12.0	controlplane	v1.13.6	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.12.0	controlplane	v1.13.10	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.12.0	controlplane	v1.14.1	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.12.0	controlplane	v1.15.0-alpha.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.12.0	worker	v1.12.12	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.12.0	worker	v1.13.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.12.0	worker	v1.13.6	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.12.0	worker	v1.13.10	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.12.0	worker	v1.14.1	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.12.0	worker	v1.15.0-alpha.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.13.0	controlplane	v1.12.12	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.13.0	controlplane	v1.13.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.13.0	controlplane	v1.13.6	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.13.0	controlplane	v1.13.10	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.13.0	controlplane	v1.14.1	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.13.0	controlplane	v1.15.0-alpha.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.13.0	worker	v1.12.12	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.13.0	worker	v1.13.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.13.0	worker	v1.13.6	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.13.0	worker	v1.13.10	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.13.0	worker	v1.14.1	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.13.0	worker	v1.15.0-alpha.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.14.0	controlplane	v1.12.12	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.14.0	controlplane	v1.13.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.14.0	controlplane	v1.13.6	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.14.0	controlplane	v1.13.10	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.14.0	controlplane	v1.14.1	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.14.0	controlplane	v1.15.0-alpha.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.14.0	worker	v1.12.12	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.14.0	worker	v1.13.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.14.0	worker	v1.13.6	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.14.0	worker	v1.13.10	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.14.0	worker	v1.14.1	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.14.0	worker	v1.15.0-alpha.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.15.0	controlplane	v1.12.12	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.15.0	controlplane	v1.13.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.15.0	controlplane	v1.13.6	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.15.0	controlplane	v1.13.10	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.15.0	controlplane	v1.14.1	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.15.0	controlplane	v1.15.0-alpha.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.15.0	worker	v1.12.12	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.15.0	worker	v1.13.0	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.15.0	worker	v1.13.6	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.15.0	worker	v1.13.10	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.15.0	worker	v1.14.1	0:M5	0:M6	0:M7	0:M7
v1.12.12	v1.15.0	worker	v1.15.0-alpha.0	0:M5	0:M6	0:M7	0:M7
v1.13.0	current	controlplane	v1.12.12	0:M5	0:M6	0:M7	0:M7
v1.13.0	current	controlplane	v1.13.0	0:M5	0:M6	0:M7	0:M7
v1.13.0	current	controlplane	v1.13.6	0:M5	0:M6	0:M7	0:M7
v1.13.0	current	controlplane	v1.13.10	0:M5	0:M6	0:M7	0:M7
v1.13.0	current	controlplane	v1.14.1	0:M5	0:M6	0:M7	0:M7
v1.13.0	current	controlplane	v1.15.0-alpha.0	0:M5	0:M6	0:M7	0:M7
v1.13.0	current	worker	v1.12.12	0:M5	0:M6	0:M7	0:M7
v1.13.0	current	worker	v1.13.0	0:M5	0:M6	0:M7	0:M7
v1.13.0	current	worker	v1.13.6	0:M5	0:M6	0:M7	0:M7
